no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
213,4,0.518,0.877,1,0.857729562,1,0.0458,0.000214,0.072,0.297,0.812,0.445410786,1
214,4,0.392,0.865,1,0.88051143,0,0.104,0.00254,4.25E-05,0.107,0.845,0.90304733,1
215,4,0.698,0.687,0,0.843858969,1,0.0673,0.115,1.48E-06,0.0858,0.8,0.548255792,1
216,4,0.779,0.803,1,0.851039649,0,0.0393,0.361,0.000697,0.0371,0.973,0.537209458,1
217,4,0.679,0.947,1,0.907865169,1,0.0809,0.67,9.69E-06,0.199,0.864,0.526661744,1
218,4,0.698,0.906,1,0.727547462,0,0.04,0.581,0.812,0.114,0.882,0.51779687,1
219,4,0.728,0.694,1,0.839132119,1,0.0404,0.0556,9.29E-05,0.135,0.688,0.431708346,1
220,4,0.629,0.734,1,0.798217745,1,0.0443,0.00906,1.80E-05,0.135,0.631,0.719881482,1
221,4,0.814,0.682,1,0.825648973,0,0.0559,0.0283,0.000789,0.159,0.914,0.59317467,1
222,4,0.777,0.908,1,0.868216454,1,0.172,0.0904,0,0.224,0.674,0.483938708,1
223,4,0.703,0.914,1,0.836884928,1,0.0755,0.0439,0.00123,0.161,0.843,0.522557725,1
224,4,0.637,0.884,1,0.823840889,1,0.0664,0.0318,3.44E-06,0.0677,0.527,0.5845639,1
225,4,0.811,0.792,1,0.78465711,1,0.0537,0.0363,0.0517,0.342,0.94,0.514225031,1
226,4,0.817,0.795,1,0.845847863,0,0.0546,0.0449,0.0119,0.0195,0.855,0.517657832,1
227,4,0.606,0.957,1,0.857781222,0,0.18,0.113,0.0704,0.0418,0.554,0.474848496,1
228,4,0.73,0.674,1,0.718222911,1,0.0526,0.00442,1.48E-06,0.0885,0.847,0.514215442,1
229,4,0.888,0.531,1,0.792380214,0,0.317,0.267,0.000334,0.00535,0.856,0.719411629,1
230,4,0.874,0.445,1,0.749296138,0,0.067,0.0496,0.00203,0.118,0.616,0.52797062,1
231,4,0.697,0.818,1,0.752292393,0,0.0467,0.0045,0.85,0.16,0.739,0.633759397,1
232,4,0.829,0.861,0,0.857109647,1,0.0797,0.134,0.00566,0.0908,0.727,0.595471195,1
233,4,0.687,0.868,1,0.828025313,0,0.0888,0.0627,0.00113,0.0833,0.801,0.489610502,1
234,4,0.742,0.848,1,0.839958672,0,0.0404,0.115,0,0.328,0.622,0.524926166,1
